"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Dcdc2b",100504491,"doublecortin domain containing 2b","ENSMUSG00000078552","Gm12964","4","protein_coding","increased hematocrit","DCDC2B"
"Rap2a",76108,"RAS related protein 2a","ENSMUSG00000051615","5830461H18Rik","14","protein_coding",NA,"RAP2A"
"Cnpy4",66455,"canopy 4 homolog (zebrafish)","ENSMUSG00000036968","2610019P18Rik","5","protein_coding","male infertility","CNPY4"
"Wdr41",218460,"WD repeat domain 41, transcript variant X1","ENSMUSG00000042015","B830029I03Rik","13","protein_coding","abnormal bone structure","WDR41"
"Gm20627",102631874,"predicted gene 20627, transcript variant X2","ENSMUSG00000093507",NA,"3","lncRNA",NA,NA
"Mmaa",109136,"methylmalonic aciduria (cobalamin deficiency) type A, transcript variant X7","ENSMUSG00000037022","2810018E08Rik","8","protein_coding","decreased exploration in new environment","MMAA"
"Gm13562",102639655,"predicted gene 13562","ENSMUSG00000086779",NA,"2","lncRNA",NA,NA
"Cd70",21948,"CD70 antigen","ENSMUSG00000019489","CD27LG","17","protein_coding","abnormal CD8-positive alpha-beta T cell physiology","CD70"
"Itm2a",16431,"integral membrane protein 2A","ENSMUSG00000031239","Bricd2a","X","protein_coding","no abnormal phenotype detected","ITM2A"
"Avil",11567,"advillin, transcript variant X2","ENSMUSG00000025432","DOC6","10","protein_coding","abnormal axon extension","AVIL"
"Zscan22",232878,"zinc finger and SCAN domain containing 22, transcript variant 1","ENSMUSG00000054715","D530006B18Rik","7","protein_coding",NA,"ZSCAN22"
"Itgb3",16416,"integrin beta 3","ENSMUSG00000020689","CD61","11","protein_coding","abnormal blood coagulation","ITGB3"
"Col11a2",12815,"collagen, type XI, alpha 2, transcript variant X9","ENSMUSG00000024330",NA,"17","protein_coding","decreased cardiac output","COL11A2"
"Apoc1",11812,"apolipoprotein C-I, transcript variant 2","ENSMUSG00000040564",NA,"7","protein_coding","abnormal bile composition","APOC1"
"Tmeff2",56363,"transmembrane protein with EGF-like and two follistatin-like domains 2, transcript variant X1","ENSMUSG00000026109","4832418D20Rik","1","protein_coding","decreased body size","TMEFF2"
"Tyro3",22174,"TYRO3 protein tyrosine kinase 3, transcript variant 2","ENSMUSG00000027298","Brt","2","protein_coding","abnormal seizure response to inducing agent","TYRO3"
"Ift22",67286,"intraflagellar transport 22","ENSMUSG00000007987","3110017O03Rik","5","protein_coding","decreased startle reflex","IFT22"
"Mtmr7",54384,"myotubularin related protein 7","ENSMUSG00000039431",NA,"8","protein_coding","decreased basophil cell number","MTMR7"
"Gabrr2",14409,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2, transcript variant X1","ENSMUSG00000023267",NA,"4","protein_coding","abnormal heart morphology","GABRR2"
"Ube2v2",70620,"ubiquitin-conjugating enzyme E2 variant 2, transcript variant 2","ENSMUSG00000022674","1110021H13Rik","16","protein_coding",NA,"UBE2V2"
"C77080",97130,"expressed sequence C77080, transcript variant 4","ENSMUSG00000050390",NA,"4","protein_coding",NA,"KIAA1522"
"Elovl5",68801,"ELOVL family member 5, elongation of long chain fatty acids (yeast)","ENSMUSG00000032349","1110059L23Rik","9","protein_coding","abnormal liver physiology","ELOVL5"
"Serinc5",218442,"serine incorporator 5","ENSMUSG00000021703","A130038L21Rik","13","protein_coding",NA,"SERINC5"
"Pyroxd2",74580,"pyridine nucleotide-disulphide oxidoreductase domain 2, transcript variant X2","ENSMUSG00000060224","3830409H07Rik","19","protein_coding",NA,"PYROXD2"
"Ypel2",77864,"yippee-like 2 (Drosophila)","ENSMUSG00000018427","E130113K08Rik","11","protein_coding","abnormal lens morphology","YPEL2"
"Parp3",235587,"poly (ADP-ribose) polymerase family, member 3","ENSMUSG00000023249","A930002C11Rik","9","protein_coding",NA,"PARP3"
"Xpo1",103573,"exportin 1, CRM1 homolog (yeast), transcript variant X1","ENSMUSG00000020290","Crm1","11","protein_coding","increased heart weight","XPO1"
"Polr2a",20020,"polymerase (RNA) II (DNA directed) polypeptide A","ENSMUSG00000005198","220kDa","11","protein_coding","decreased body weight","POLR2A"
"Tspyl4",72480,"TSPY-like 4","ENSMUSG00000039485","2610102M01Rik","10","protein_coding","hyperactivity","TSPYL4"
"Irgm1",15944,"immunity-related GTPase family M member 1, transcript variant X1","ENSMUSG00000046879","Ifi1","11","protein_coding","abnormal eye morphology","IRGM"
"Cep131",12009,"centrosomal protein 131, transcript variant X1","ENSMUSG00000039781","AZ1","11","protein_coding","abnormal epididymis morphology","CEP131"
"Sema4d",20354,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D, transcript variant X7","ENSMUSG00000021451","CD100","13","protein_coding","abnormal behavior","SEMA4D"
"Gbp6",100702,"guanylate binding protein 6, transcript variant X5","ENSMUSG00000104713","Mpa2l","5","protein_coding",NA,"GBP6"
"Zfp119b",240120,"zinc finger protein 119b, transcript variant X1","ENSMUSG00000062101","BC031441","17","protein_coding",NA,NA
"Eps15",13858,"epidermal growth factor receptor pathway substrate 15, transcript variant X3","ENSMUSG00000028552","2410112D09Rik","4","protein_coding","decreased circulating bilirubin level","EPS15"
"Pxmp2",19301,"peroxisomal membrane protein 2","ENSMUSG00000029499","22kDa","5","protein_coding","abnormal female reproductive system morphology","PXMP2"
"Tomm40l",641376,"translocase of outer mitochondrial membrane 40 homolog-like (yeast), transcript variant X1","ENSMUSG00000005674",NA,"1","protein_coding",NA,"TOMM40L"
"Atat1",73242,"alpha tubulin acetyltransferase 1, transcript variant 1","ENSMUSG00000024426","0610011P08Rik","17","protein_coding","abnormal cell morphology","ATAT1"
"Chrac1",93696,"chromatin accessibility complex 1","ENSMUSG00000068391","2410152E03Rik","15","protein_coding",NA,"CHRAC1"
"Mrpl24",67707,"mitochondrial ribosomal protein L24, transcript variant X1","ENSMUSG00000019710","2010005E08Rik","3","protein_coding",NA,"MRPL24"
"Ipo9",226432,"importin 9, transcript variant X5","ENSMUSG00000041879","0710008K06Rik","1","protein_coding","abnormal allantois morphology","IPO9"
"Actg1",11465,"actin, gamma, cytoplasmic 1, transcript variant X1","ENSMUSG00000062825","Actl","11","protein_coding","embryonic growth retardation","ACTG1"
"Noxred1",71275,"NADP+ dependent oxidoreductase domain containing 1","ENSMUSG00000072919","4933437F05Rik","12","protein_coding","decreased body length","NOXRED1"
"Gm20501",102635300,"predicted gene 20501, transcript variant X5","ENSMUSG00000092536",NA,"7","lncRNA",NA,NA
"H2-K1",14972,"histocompatibility 2, K1, K region, transcript variant 1","ENSMUSG00000061232","H-2K","17","protein_coding","abnormal immune system physiology","HLA-E"
"Lig1",16881,"ligase I, DNA, ATP-dependent, transcript variant 3","ENSMUSG00000056394","LigI","7","protein_coding","abnormal DNA replication","LIG1"
"Morn2",378462,"MORN repeat containing 2","ENSMUSG00000045257","Mopt","17","protein_coding",NA,"MORN2"
"Dcakd",68087,"dephospho-CoA kinase domain containing, transcript variant X1","ENSMUSG00000020935","3010024O21Rik","11","protein_coding",NA,"DCAKD"
"Nop14",75416,"NOP14 nucleolar protein","ENSMUSG00000036693","2610033H07Rik","5","protein_coding",NA,"NOP14"
"Bbs1",52028,"Bardet-Biedl syndrome 1 (human), transcript variant X1","ENSMUSG00000006464","D19Ertd609e","19","protein_coding","abnormal blood vessel morphology","BBS1"
"Tada2b",231151,"transcriptional adaptor 2B","ENSMUSG00000029196","LOC231151","5","protein_coding",NA,"TADA2B"
"Gal3st1",53897,"galactose-3-O-sulfotransferase 1, transcript variant 1","ENSMUSG00000049721","3'-phosphoadenylylsulfate-galactosylceramide 3'-sulfotransferase","11","protein_coding","abnormal axon morphology","GAL3ST1"
"Xpc",22591,"xeroderma pigmentosum, complementation group C","ENSMUSG00000030094",NA,"6","protein_coding","abnormal cell physiology","XPC"
"Irf2bp2",270110,"interferon regulatory factor 2 binding protein 2","ENSMUSG00000051495","E130305N23Rik","8","protein_coding","abnormal embryonic erythropoiesis","IRF2BP2"
"Spns2",216892,"spinster homolog 2, transcript variant 1","ENSMUSG00000040447",NA,"11","protein_coding","abnormal behavior","SPNS2"
"Pole",18973,"polymerase (DNA directed), epsilon","ENSMUSG00000007080","pol-epsilon","5","protein_coding","embryonic lethality between implantation and placentation complete penetrance","POLE"
"Fam78b",226610,"family with sequence similarity 78, member B, transcript variant 1","ENSMUSG00000060568","C030014K22Rik","1","protein_coding",NA,"FAM78B"
"Ggcx",56316,"gamma-glutamyl carboxylase, transcript variant X4","ENSMUSG00000053460","vitamin K-dependent carboxylase","6","protein_coding","internal hemorrhage","GGCX"
"Anks1",224650,"ankyrin repeat and SAM domain containing 1, transcript variant 1","ENSMUSG00000024219","Odin","17","protein_coding","decreased heart rate","ANKS1A"
"Pgm2",72157,"phosphoglucomutase 2","ENSMUSG00000029171","3230402E02Rik","5","protein_coding","no abnormal phenotype detected","PGM2"
"Zgrf1",71643,"zinc finger, GRF-type containing 1, transcript variant X1","ENSMUSG00000051278","4930422G04Rik","3","protein_coding","decreased startle reflex",NA
"Alkbh3",69113,"alkB, alkylation repair homolog 3 (E. coli), transcript variant X3","ENSMUSG00000040174","1700108H04Rik","2","protein_coding","no abnormal phenotype detected","ALKBH3"
"Dnd1",213236,"dead end homolog 1 (zebrafish)","ENSMUSG00000044595","RBMS4","18","protein_coding","abnormal retinal vasculature morphology","DND1"
"Lime1",72699,"Lck interacting transmembrane adaptor 1","ENSMUSG00000090077","2810038K19Rik","2","protein_coding",NA,NA
"Trim23",81003,"tripartite motif-containing 23, transcript variant X1","ENSMUSG00000021712","6330516O20Rik","13","protein_coding",NA,"TRIM23"
"Abhd14a",68644,"abhydrolase domain containing 14A, transcript variant X7","ENSMUSG00000042210","1110013B16Rik","9","protein_coding","improved glucose tolerance","ABHD14A"
"Zkscan3",72739,"zinc finger with KRAB and SCAN domains 3, transcript variant 2","ENSMUSG00000021327","2810435N07Rik","13","protein_coding","no abnormal phenotype detected","ZKSCAN4"
"Fam131b",76156,"family with sequence similarity 131, member B, transcript variant c","ENSMUSG00000029861","6330503C03Rik","6","protein_coding",NA,"FAM131B"
"Elovl1",54325,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1, transcript variant X1","ENSMUSG00000006390","Ssc1","4","protein_coding","abnormal ceramide level","ELOVL1"
"Trim72",434246,"tripartite motif-containing 72, transcript variant X1","ENSMUSG00000042828","MG53","7","protein_coding","abnormal motor capabilities/coordination/movement","TRIM72"
"Klhdc9",68874,"kelch domain containing 9","ENSMUSG00000045259","1190002J23Rik","1","protein_coding",NA,"KLHDC9"
"Iqck",434232,"IQ motif containing K, transcript variant X1","ENSMUSG00000073856","A230094G09Rik","7","protein_coding",NA,"IQCK"
"Smim14",68552,"small integral membrane protein 14, transcript variant X7","ENSMUSG00000037822","1110003E01Rik","5","protein_coding",NA,"SMIM14"
"Kcnab3",16499,"potassium voltage-gated channel, shaker-related subfamily, beta member 3","ENSMUSG00000018470","C330022D06Rik","11","protein_coding","increased bone mineral density","KCNAB3"
"Ing5",66262,"inhibitor of growth family, member 5, transcript variant X1","ENSMUSG00000026283","1700027H23Rik","1","protein_coding","impaired glucose tolerance","ING5"
"Cnnm3",94218,"cyclin M3, transcript variant X1","ENSMUSG00000001138","Acdp3","1","protein_coding",NA,"CNNM3"
"Fn3k",63828,"fructosamine 3 kinase, transcript variant X1","ENSMUSG00000025175","2310074G21Rik","11","protein_coding","abnormal cell physiology","FN3K"
"Cnp",12799,"2',3'-cyclic nucleotide 3' phosphodiesterase, transcript variant X1","ENSMUSG00000006782","Cnp-1","11","protein_coding","decreased mean corpuscular volume","CNP"
"Uros",22276,"uroporphyrinogen III synthase, transcript variant X1","ENSMUSG00000030979","hydroxymethylbilane hydrolyase (cyclizing)","7","protein_coding","decreased bone mineral density","UROS"
"Eml1",68519,"echinoderm microtubule associated protein like 1, transcript variant 3","ENSMUSG00000058070","1110008N23Rik","12","protein_coding","absent pinna reflex","EML1"
"Lgals3",16854,"lectin, galactose binding, soluble 3, transcript variant 1","ENSMUSG00000050335","gal3","14","protein_coding","Mallory bodies","LGALS3"
"Gjb1",14618,"gap junction protein, beta 1, transcript variant 2","ENSMUSG00000047797","connexin 32","X","protein_coding","abnormal Schwann cell morphology","GJB1"
"Dynll1",56455,"dynein light chain LC8-type 1","ENSMUSG00000009013","8kDa LC","5","protein_coding","decreased circulating glucose level","DYNLL1"
"Cyp2j12",242546,"cytochrome P450, family 2, subfamily j, polypeptide 12, transcript variant X1","ENSMUSG00000081225","Cyp2j12-ps","4","protein_coding",NA,NA
"Crip3",114570,"cysteine-rich protein 3, transcript variant X2","ENSMUSG00000023968","TLP","17","protein_coding","decreased thymocyte number","CRIP3"
"Sbk1",104175,"SH3-binding kinase 1","ENSMUSG00000042978",NA,"7","protein_coding","abnormal coat appearance","SBK1"
"Camkk2",207565,"calcium/calmodulin-dependent protein kinase kinase 2, beta, transcript variant X5","ENSMUSG00000029471","6330570N16Rik","5","protein_coding","abnormal glucose homeostasis","CAMKK2"
"Setd7",73251,"SET domain containing (lysine methyltransferase) 7","ENSMUSG00000037111","1600028F23Rik","3","protein_coding","abnormal cell cycle checkpoint function","SETD7"
"Btf3l4",70533,"basic transcription factor 3-like 4","ENSMUSG00000028568","4632412E09Rik","4","protein_coding",NA,"BTF3L4"
"Acbd4",67131,"acyl-Coenzyme A binding domain containing 4, transcript variant 1","ENSMUSG00000056938","2010009P05Rik","11","protein_coding",NA,"ACBD4"
"Gm16835",102635192,"predicted gene, 16835, transcript variant X19","ENSMUSG00000087479",NA,"14","lncRNA",NA,NA
"Gpr37",14763,"G protein-coupled receptor 37","ENSMUSG00000039904","Pael-R","6","protein_coding","abnormal CNS synaptic transmission","GPR37"
"Prr5l",72446,"proline rich 5 like, transcript variant X2","ENSMUSG00000032841","2600010E01Rik","2","protein_coding",NA,"PRR5L"
"Slain1",105439,"SLAIN motif family, member 1, transcript variant X1","ENSMUSG00000055717","9630044O09Rik","14","protein_coding",NA,"SLAIN1"
"Calr",12317,"calreticulin","ENSMUSG00000003814","Calregulin","8","protein_coding","abnormal Z line morphology","CALR"
"Bst1",12182,"bone marrow stromal cell antigen 1, transcript variant X1","ENSMUSG00000029082","114/A10","5","protein_coding","abnormal B cell physiology","BST1"
"Fmnl3",22379,"formin-like 3, transcript variant X3","ENSMUSG00000023008","2700073B04Rik","15","protein_coding","abnormal skin coloration","FMNL3"
"Gpr89",67549,"G protein-coupled receptor 89","ENSMUSG00000028096","4933412D19Rik","3","protein_coding","abnormal T cell morphology","GPR89B"
"Zranb1",360216,"zinc finger, RAN-binding domain containing 1, transcript variant X3","ENSMUSG00000030967","9330160G10Rik","7","protein_coding","increased lean body mass","ZRANB1"
"Col27a1",373864,"collagen, type XXVII, alpha 1, transcript variant X2","ENSMUSG00000045672","5730512J02Rik","4","protein_coding","abnormal craniofacial morphology","COL27A1"
"Emc8",18117,"ER membrane protein complex subunit 8","ENSMUSG00000031819","Cox4nb","8","protein_coding","abnormal behavior","EMC8"
"Ormdl3",66612,"ORM1-like 3 (S. cerevisiae)","ENSMUSG00000038150","2810011N17Rik","11","protein_coding","abnormal spleen morphology","ORMDL3"
"Capg",12332,"capping protein (actin filament), gelsolin-like, transcript variant 1","ENSMUSG00000056737","gCap39","6","protein_coding","abnormal dendritic cell physiology","CAPG"
"Zbtb21",114565,"zinc finger and BTB domain containing 21, transcript variant 2","ENSMUSG00000046962","5430437K12Rik","16","protein_coding",NA,"ZBTB21"
"Sord",20322,"sorbitol dehydrogenase","ENSMUSG00000027227","Sdh-1","2","protein_coding","abnormal lens morphology","SORD"
"Tsc22d1",21807,"TSC22 domain family, member 1, transcript variant X9","ENSMUSG00000022010","Egr5","14","protein_coding","abnormal bone marrow cell physiology","TSC22D1"
"Gpld1",14756,"glycosylphosphatidylinositol specific phospholipase D1","ENSMUSG00000021340","6330541J12Rik","13","protein_coding","abnormal heart morphology","GPLD1"
"Cdh4",12561,"cadherin 4","ENSMUSG00000000305","R-Cadh","2","protein_coding","abnormal motor coordination/ balance","CDH4"
"Hkdc1",216019,"hexokinase domain containing 1","ENSMUSG00000020080",NA,"10","protein_coding","abnormal retinal photoreceptor layer morphology","HKDC1"
"Ggact",223267,"gamma-glutamylamine cyclotransferase","ENSMUSG00000041625","A2ld1","14","protein_coding",NA,"GGACT"
"Zfp493",72958,"zinc finger protein 493","ENSMUSG00000090659","2900054J07Rik","13","protein_coding",NA,"ZNF195"
"Mkks",59030,"McKusick-Kaufman syndrome, transcript variant X2","ENSMUSG00000027274","1300013E18Rik","2","protein_coding","abnormal inner hair cell kinocilium location or orientation","MKKS"
"Gm15423",102640747,"predicted gene 15423, transcript variant X2","ENSMUSG00000087082",NA,"1","lncRNA",NA,NA
"Npas2",18143,"neuronal PAS domain protein 2, transcript variant X1","ENSMUSG00000026077","bHLHe9","1","protein_coding","abnormal heart morphology","NPAS2"
"Plin4",57435,"perilipin 4, transcript variant X5","ENSMUSG00000002831","S3-12","17","protein_coding","abnormal auditory brainstem response","PLIN4"
"Rragc",54170,"Ras-related GTP binding C","ENSMUSG00000028646","Gtr2","4","protein_coding",NA,"RRAGC"
"Nsun3",106338,"NOL1/NOP2/Sun domain family member 3, transcript variant X1","ENSMUSG00000050312","6720484A09Rik","16","protein_coding",NA,"NSUN3"
"Hgsnat",52120,"heparan-alpha-glucosaminide N-acetyltransferase","ENSMUSG00000037260","9430010M12Rik","8","protein_coding","abnormal bone structure","HGSNAT"
"Acr",11434,"acrosin prepropeptide, transcript variant X2","ENSMUSG00000022622","preproacrosin","15","protein_coding","delayed fertilization","ACR"
"Ccdc167",68597,"coiled-coil domain containing 167, transcript variant 1","ENSMUSG00000024018","1110021J02Rik","17","protein_coding",NA,"CCDC167"
"Thap1",73754,"THAP domain containing, apoptosis associated protein 1","ENSMUSG00000037214","4833431A01Rik","8","protein_coding","abnormal cornea morphology","THAP1"
"Egfl8",81701,"EGF-like domain 8, transcript variant X1","ENSMUSG00000015467","NG3","17","protein_coding","abnormal brain morphology","EGFL8"
"Vps33a",77573,"vacuolar protein sorting 33A (yeast), transcript variant X1","ENSMUSG00000029434","3830421M04Rik","5","protein_coding","embryonic lethality prior to organogenesis",NA
"Igbp1",18518,"immunoglobulin (CD79A) binding protein 1","ENSMUSG00000031221","alpha 4","X","protein_coding",NA,"IGBP1"
"Tbx6",21389,"T-box 6","ENSMUSG00000030699",NA,"7","protein_coding","abnormal cervical atlas morphology","TBX6"
"Dcst2",329702,"DC-STAMP domain containing 2, transcript variant X11","ENSMUSG00000109293","LOC329702","3","protein_coding",NA,"DCST2"
"Rbm28",68272,"RNA binding motif protein 28","ENSMUSG00000029701","2810480G15Rik","6","protein_coding",NA,"RBM28"
"Pms1",227099,"postmeiotic segregation increased 1 (S. cerevisiae), transcript variant X7","ENSMUSG00000026098",NA,"1","protein_coding","abnormal heart morphology","PMS1"
"Rtcb",28088,"RNA 2',3'-cyclic phosphate and 5'-OH ligase","ENSMUSG00000001783","D10Wsu52e","10","protein_coding",NA,"RTCB"
"Smad9",55994,"SMAD family member 9, transcript variant X1","ENSMUSG00000027796","MADH6","3","protein_coding","abnormal hindbrain morphology",NA
"Ubxn2b",68053,"UBX domain protein 2B","ENSMUSG00000028243","3110003A22Rik","4","protein_coding",NA,"UBXN2B"
"Rnf170",77733,"ring finger protein 170, transcript variant X5","ENSMUSG00000013878","6720407G21Rik","8","protein_coding","abnormal gait","RNF170"
"Pithd1",66193,"PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1","ENSMUSG00000028669","1110049F12Rik","4","protein_coding","abnormal testis physiology","PITHD1"
"Steap3",68428,"STEAP family member 3, transcript variant X1","ENSMUSG00000026389","1010001D01Rik","1","protein_coding","hyperactivity","STEAP3"
"Tomm20",67952,"translocase of outer mitochondrial membrane 20 homolog (yeast)","ENSMUSG00000093904","1810060K07Rik","8","protein_coding","abnormal vocalization","TOMM20"
"Klf15",66277,"Kruppel-like factor 15","ENSMUSG00000030087","1810013I09Rik","6","protein_coding","abdominal aorta aneurysm","KLF15"
"Amz2",13929,"archaelysin family metallopeptidase 2, transcript variant 1","ENSMUSG00000020610","ESTM12","11","protein_coding",NA,"AMZ2"
"Folh1",53320,"folate hydrolase 1, transcript variant X1","ENSMUSG00000001773","GCP2","7","protein_coding","hyperactivity","FOLH1"
"Ubfd1",28018,"ubiquitin family domain containing 1","ENSMUSG00000030870","D7Wsu105e","7","protein_coding",NA,"UBFD1"
"Gpx3",14778,"glutathione peroxidase 3","ENSMUSG00000018339","EGPx","11","protein_coding","prenatal lethality prior to heart atrial septation","GPX3"
"C4b",12268,"complement component 4B (Chido blood group), transcript variant X2","ENSMUSG00000073418","C4","17","protein_coding","decreased circulating alkaline phosphatase level","C4B"
"Mdfi",17240,"MyoD family inhibitor, transcript variant 2","ENSMUSG00000032717","I-mf","17","protein_coding","abnormal axial skeleton morphology","MDFI"
"Nucb2",53322,"nucleobindin 2, transcript variant X5","ENSMUSG00000030659","Calnuc","7","protein_coding","decreased heart rate","NUCB2"
"Clip4",78785,"CAP-GLY domain containing linker protein family, member 4, transcript variant X2","ENSMUSG00000024059","1700024K14Rik","17","protein_coding",NA,"CLIP4"
"Tipin",66131,"timeless interacting protein, transcript variant X6","ENSMUSG00000032397","1110005A05Rik","9","protein_coding",NA,"TIPIN"
"Amy1",11722,"amylase 1, salivary, transcript variant 2","ENSMUSG00000074264","Amy-1","3","protein_coding",NA,NA
"Efhd1",98363,"EF hand domain containing 1, transcript variant X1","ENSMUSG00000026255","4931430I01Rik","1","protein_coding",NA,"EFHD1"
"Smim15",75616,"small integral membrane protein 15","ENSMUSG00000071180","2810008M24Rik","13","protein_coding",NA,"SMIM15"
"Zfp658",210104,"zinc finger protein 658","ENSMUSG00000056592",NA,"7","protein_coding","impaired glucose tolerance",NA
"E2f6",50496,"E2F transcription factor 6, transcript variant X4","ENSMUSG00000057469","EMA","12","protein_coding","cervical vertebral transformation","E2F6"
"Lix1",66643,"limb expression 1 homolog (chicken)","ENSMUSG00000047786","5730466L18Rik","17","protein_coding","no abnormal phenotype detected","LIX1"
"Coq4",227683,"coenzyme Q4 homolog (yeast), transcript variant X1","ENSMUSG00000026798","D2Ertd97e","2","protein_coding","decreased circulating free fatty acids level","COQ4"
"Otoa",246190,"otoancorin","ENSMUSG00000034990",NA,"7","protein_coding","abnormal auditory brainstem response","OTOA"
"Mex3a",72640,"mex3 homolog A (C. elegans)","ENSMUSG00000074480","2700083E18Rik","3","protein_coding","abnormal intestinal epithelium physiology","MEX3A"
"Tmem132c",208213,"transmembrane protein 132C","ENSMUSG00000034324","2810482M11Rik","5","protein_coding",NA,"TMEM132C"
"Dclk1",13175,"doublecortin-like kinase 1, transcript variant X1","ENSMUSG00000027797","1700113D08Rik","3","protein_coding","decreased circulating free fatty acids level","DCLK1"
"Eml2",72205,"echinoderm microtubule associated protein like 2, transcript variant X5","ENSMUSG00000040811","1600029N02Rik","7","protein_coding","abnormal eye morphology","EML2"
"Glyr1",74022,"glyoxylate reductase 1 homolog (Arabidopsis), transcript variant 2","ENSMUSG00000022536","2810419J22Rik","16","protein_coding","abnormal iris morphology","GLYR1"
"Gm1976",100038746,"predicted gene 1976, transcript variant 2","ENSMUSG00000066057",NA,"17","lncRNA",NA,NA
"Smyd3",69726,"SET and MYND domain containing 3, transcript variant X4","ENSMUSG00000055067","2410008A19Rik","1","protein_coding","increased blood urea nitrogen level","SMYD3"
"Dcaf8",98193,"DDB1 and CUL4 associated factor 8","ENSMUSG00000026554","D1Dau35e","1","protein_coding","abnormal heart morphology","DCAF8"
"Lias",79464,"lipoic acid synthetase","ENSMUSG00000029199","2900022L22Rik","5","protein_coding","abnormal brain morphology","LIAS"
"Msn",17698,"moesin","ENSMUSG00000031207",NA,"X","protein_coding","hyperactivity","MSN"
"Timmdc1",76916,"translocase of inner mitochondrial membrane domain containing 1","ENSMUSG00000002846","2810021C21Rik","16","protein_coding","abnormal coat appearance","TIMMDC1"
"H2-Q6",110557,"histocompatibility 2, Q region locus 6, transcript variant X7","ENSMUSG00000073409","0610037M15Rik","17","protein_coding",NA,"HLA-E"
"Asic3",171209,"acid-sensing (proton-gated) ion channel 3, transcript variant X4","ENSMUSG00000038276","Accn3","5","protein_coding","abnormal gallbladder morphology","ASIC3"
"Col5a3",53867,"collagen, type V, alpha 3, transcript variant X1","ENSMUSG00000004098","Pro-alpha3(V)","9","protein_coding","abnormal glucose homeostasis","COL5A3"
"Stx3",20908,"syntaxin 3, transcript variant C","ENSMUSG00000041488","Syn-3","19","protein_coding","decreased total body fat amount","STX3"
"AW046200",100502619,"expressed sequence AW046200","ENSMUSG00000110419",NA,"8","lncRNA",NA,NA
"Hsf1",15499,"heat shock factor 1, transcript variant X1","ENSMUSG00000022556","heat shock transcription factor 1","15","protein_coding","abnormal embryo size","HSF1"
"Colq",382864,"collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase, transcript variant X5","ENSMUSG00000057606",NA,"14","protein_coding","abnormal neuromuscular synapse morphology","COLQ"
"Rcor3",214742,"REST corepressor 3, transcript variant 1","ENSMUSG00000037395","4921514E24Rik","1","protein_coding","abnormal auditory brainstem response","RCOR3"
"Slc6a20a",102680,"solute carrier family 6 (neurotransmitter transporter), member 20A","ENSMUSG00000036814","A730081N20Rik","9","protein_coding",NA,"SLC6A20"
"Prps1",19139,"phosphoribosyl pyrophosphate synthetase 1","ENSMUSG00000031432","2310010D17Rik","X","protein_coding","preweaning lethality complete penetrance","PRPS1"
"Keap1",50868,"kelch-like ECH-associated protein 1, transcript variant 4","ENSMUSG00000003308","INrf2","9","protein_coding","abnormal esophageal epithelium morphology","KEAP1"
"Tap2",21355,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP), transcript variant X1","ENSMUSG00000024339","Abcb3","17","protein_coding","abnormal NK cell physiology",NA
"Slc16a7",20503,"solute carrier family 16 (monocarboxylic acid transporters), member 7, transcript variant X4","ENSMUSG00000020102","4921534N07Rik","10","protein_coding",NA,"SLC16A7"
"Eif2b3",108067,"eukaryotic translation initiation factor 2B, subunit 3, transcript variant X1","ENSMUSG00000028683","1190002P15Rik","4","protein_coding","decreased grip strength","EIF2B3"
"Flywch1",224613,"FLYWCH-type zinc finger 1, transcript variant X1","ENSMUSG00000040097",NA,"17","protein_coding","abnormal embryo size","FLYWCH1"
"Amigo2",105827,"adhesion molecule with Ig like domain 2, transcript variant 3","ENSMUSG00000048218",NA,"15","protein_coding","abnormal retinal ganglion cell morphology","AMIGO2"
"Hspd1",15510,"heat shock protein 1 (chaperonin), transcript variant X1","ENSMUSG00000025980","Hsp60","1","protein_coding","abnormal coat/hair pigmentation",NA
"Sost",74499,"sclerostin","ENSMUSG00000001494","5430411E23Rik","11","protein_coding","abnormal bone mineralization","SOST"
"Gm8615",667410,"predicted pseudogene 8615","ENSMUSG00000024437",NA,"5","transcribed_processed_pseudogene",NA,NA
"Kcnk13",217826,"potassium channel, subfamily K, member 13, transcript variant X1","ENSMUSG00000045404","F730021E22Rik","12","protein_coding","increased mean corpuscular volume","KCNK13"
"Tspyl2",52808,"TSPY-like 2, transcript variant X1","ENSMUSG00000041096","CINAP","X","protein_coding","abnormal retinal inner nuclear layer morphology","TSPYL2"
"Spsb3",79043,"splA/ryanodine receptor domain and SOCS box containing 3, transcript variant X5","ENSMUSG00000024160","2310012N15Rik","17","protein_coding",NA,"SPSB3"
"Gm8493",667171,"predicted gene 8493, transcript variant X4","ENSMUSG00000106028",NA,"5","unprocessed_pseudogene",NA,NA
